id,id+,country,recency,frequency,monetary,r,f,m,fm,rfm_score,segment,ml_cluster,is_churned,churn_probability,churn_risk,customer_lifetime_value,average_order_value,days_since_first_purchase
1931298,AF1931298,AF,190,1,320.46,2,1,1,1,211,hibernating,0,1,1.00,High Risk,320.46,320.46,175
1941384,AF1941384,AF,281,2,3658.92,1,2,3,2,123,lost,0,1,1.00,High Risk,7317.84,1829.46,84
1946226,AF1946226,AF,71,5,10756.86,3,4,4,4,344,can't lose,1,0,0.00,,53784.30,2151.37,294
1946970,AF1946970,AF,351,2,3055.50,1,2,3,2,123,lost,0,1,1.00,High Risk,6111.00,1527.75,14
1954026,AF1954026,AF,120,1,1026.78,2,1,1,1,211,hibernating,1,0,0.01,Low Risk,1026.78,1026.78,245
2000172,AF2000172,AF,8,5,4294.32,5,4,3,3,543,potential loyalists,1,0,0.00,,21471.60,858.86,357
2034558,AF2034558,AF,8,2,545.16,5,2,1,1,521,recent customers,1,0,0.00,,1090.32,272.58,357
2053164,AF2053164,AF,267,2,1823.76,1,2,2,2,122,lost,0,1,1.00,High Risk,3647.52,911.88,98
2053680,AF2053680,AF,211,1,1852.86,2,1,2,1,212,hibernating,0,1,0.99,High Risk,1852.86,1852.86,154
2058480,AF2058480,AF,71,4,3117.42,3,3,3,3,333,need attention,1,0,0.00,,12469.68,779.36,294
2059968,AF2059968,AF,43,19,12955.92,4,5,4,4,454,loyal customers,1,0,0.00,,246162.48,681.89,322
2063034,AF2063034,AF,43,10,3631.44,4,4,3,3,443,potential loyalists,1,0,0.00,,36314.40,363.14,322
2078484,AF2078484,AF,8,18,34895.88,5,5,5,5,555,champions,1,0,0.00,,628125.84,1938.66,357
2081514,AF2081514,AF,8,9,46820.70,5,4,5,4,545,champions,1,0,0.00,,421386.30,5202.30,357
2094360,AF2094360,AF,239,4,13930.98,1,3,4,3,134,lost,0,1,1.00,High Risk,55723.92,3482.74,126
2096154,AF2096154,AF,78,1,389.70,3,1,1,1,311,other,1,0,0.00,,389.70,389.70,287
2097636,AF2097636,AF,92,2,14881.74,3,2,4,3,324,need attention,1,0,0.00,,29763.48,7440.87,273
2097930,AF2097930,AF,71,1,366.42,3,1,1,1,311,other,1,0,0.00,,366.42,366.42,294
2098464,AF2098464,AF,71,1,1213.26,3,1,2,1,312,other,1,0,0.00,,1213.26,1213.26,294
2099700,AF2099700,AF,141,2,2571.54,2,2,3,2,223,hibernating,1,0,0.00,,5143.08,1285.77,224
2100330,AF2100330,AF,323,1,1200.36,1,1,2,1,112,lost,0,1,1.00,High Risk,1200.36,1200.36,42
2110050,AF2110050,AF,85,2,2895.90,3,2,3,2,323,about to sleep,1,0,0.00,,5791.80,1447.95,280
2118984,AF2118984,AF,106,2,9241.14,3,2,4,3,324,need attention,1,0,0.00,,18482.28,4620.57,259
2123202,AF2123202,AF,169,7,27733.98,2,4,5,4,245,at risk,0,0,0.01,Low Risk,194137.86,3962.00,196
2126610,AF2126610,AF,29,1,1213.26,4,1,2,1,412,recent customers,1,0,0.00,,1213.26,1213.26,336
2135484,AF2135484,AF,169,2,15047.46,2,2,4,3,224,at risk,0,0,0.02,Low Risk,30094.92,7523.73,196
2137002,AF2137002,AF,71,6,2697.60,3,4,3,3,343,need attention,1,0,0.00,,16185.60,449.60,294
2142576,AF2142576,AF,260,1,386.04,1,1,1,1,111,lost,0,1,1.00,High Risk,386.04,386.04,105
2149866,AF2149866,AF,344,1,2913.00,1,1,3,2,113,lost,0,1,1.00,High Risk,2913.00,2913.00,21
2150208,AF2150208,AF,57,1,1213.26,3,1,2,1,312,other,1,0,0.00,,1213.26,1213.26,308
2156910,AF2156910,AF,57,28,41314.32,3,5,5,5,355,can't lose,1,0,0.00,,1156800.96,1475.51,308
2160372,AF2160372,AF,246,2,1005.06,1,2,1,1,121,lost,0,1,1.00,High Risk,2010.12,502.53,119
2165466,AF2165466,AF,8,13,23786.70,5,5,5,5,555,champions,1,0,0.00,,309227.10,1829.75,357
2169594,AF2169594,AF,22,10,12628.80,5,4,4,4,544,champions,1,0,0.00,,126288.00,1262.88,343
2173422,AF2173422,AF,351,1,189.72,1,1,1,1,111,lost,0,1,1.00,High Risk,189.72,189.72,14
2175216,AF2175216,AF,162,3,1871.70,2,3,2,2,232,hibernating,0,0,0.03,Low Risk,5615.10,623.90,203
2180166,AF2180166,AF,36,5,3229.56,4,4,3,3,443,potential loyalists,1,0,0.00,,16147.80,645.91,329
2183400,AF2183400,AF,197,1,1059.60,2,1,2,1,212,hibernating,0,1,0.99,High Risk,1059.60,1059.60,168
2184516,AF2184516,AF,232,2,2465.22,1,2,3,2,123,lost,0,1,1.00,High Risk,4930.44,1232.61,133
2184936,AF2184936,AF,106,3,1332.00,3,3,2,2,332,about to sleep,1,0,0.00,,3996.00,444.00,259
2194314,AF2194314,AF,78,5,2488.56,3,4,3,3,343,need attention,1,0,0.00,Low Risk,12442.80,497.71,287
2197752,AF2197752,AF,295,2,9636.36,1,2,4,3,124,lost,0,1,1.00,High Risk,19272.72,4818.18,70
2201124,AF2201124,AF,232,1,1251.96,1,1,2,1,112,lost,0,1,1.00,High Risk,1251.96,1251.96,133
2202342,AF2202342,AF,225,1,320.46,1,1,1,1,111,lost,0,1,1.00,High Risk,320.46,320.46,140
2206224,AF2206224,AF,323,1,195.00,1,1,1,1,111,lost,0,1,1.00,High Risk,195.00,195.00,42
2209968,AF2209968,AF,162,1,270.42,2,1,1,1,211,hibernating,0,0,0.01,Low Risk,270.42,270.42,203
2213136,AF2213136,AF,274,2,0.00,1,2,1,1,121,lost,0,1,1.00,High Risk,0.00,0.00,91
2215338,AF2215338,AF,1,8,3777.06,5,4,3,3,543,potential loyalists,1,0,0.00,,30216.48,472.13,364
2215530,AF2215530,AF,78,7,8460.66,3,4,4,4,344,can't lose,1,0,0.00,,59224.62,1208.67,287
2216760,AF2216760,AF,162,3,390.60,2,3,1,2,231,hibernating,0,0,0.04,Low Risk,1171.80,130.20,203
2217480,AF2217480,AF,50,1,81.84,4,1,1,1,411,recent customers,1,0,0.00,,81.84,81.84,315
2217732,AF2217732,AF,71,2,3639.78,3,2,3,2,323,about to sleep,1,0,0.00,,7279.56,1819.89,294
2218692,AF2218692,AF,211,1,1934.88,2,1,2,1,212,hibernating,0,1,0.99,High Risk,1934.88,1934.88,154
2473470,AF2473470,AF,36,1,1279.20,4,1,2,1,412,recent customers,1,0,0.00,,1279.20,1279.20,329
2480190,AF2480190,AF,92,8,15461.46,3,4,4,4,344,can't lose,1,0,0.00,,123691.68,1932.68,273
2486256,AF2486256,AF,43,24,48551.04,4,5,5,5,455,loyal customers,1,0,0.00,,1165224.96,2022.96,322
2489304,AF2489304,AF,43,3,5894.40,4,3,3,3,433,potential loyalists,1,0,0.00,,17683.20,1964.80,322
2501568,AF2501568,AF,29,3,1895.10,4,3,2,2,432,promising,1,0,0.00,,5685.30,631.70,336
2707914,AF2707914,AF,50,13,21314.40,4,5,5,5,455,loyal customers,1,0,0.00,,277087.20,1639.57,315
2780526,AF2780526,AF,57,13,20567.52,3,5,5,5,355,can't lose,1,0,0.00,,267377.76,1582.12,308
2791800,AF2791800,AF,36,9,18840.66,4,4,5,4,445,loyal customers,1,0,0.00,,169565.94,2093.41,329
2799510,AF2799510,AF,190,1,3865.02,2,1,3,2,213,hibernating,0,1,0.99,High Risk,3865.02,3865.02,175
2799678,AF2799678,AF,92,5,10668.96,3,4,4,4,344,can't lose,1,0,0.00,,53344.80,2133.79,273
2799702,AF2799702,AF,22,23,43119.90,5,5,5,5,555,champions,1,0,0.00,,991757.70,1874.78,343
2799786,AF2799786,AF,113,3,2634.66,2,3,3,3,233,at risk,1,0,0.03,Low Risk,7903.98,878.22,252
2815722,AF2815722,AF,22,28,12984.96,5,5,4,4,554,champions,1,0,0.00,,363578.88,463.75,343
2815728,AF2815728,AF,260,1,270.42,1,1,1,1,111,lost,0,1,1.00,High Risk,270.42,270.42,105
2819382,AF2819382,AF,169,1,123.36,2,1,1,1,211,hibernating,0,0,0.01,Low Risk,123.36,123.36,196
2956710,AF2956710,AF,302,1,382.02,1,1,1,1,111,lost,0,1,1.00,High Risk,382.02,382.02,63
2956866,AF2956866,AF,232,1,3138.96,1,1,3,2,113,lost,0,1,1.00,High Risk,3138.96,3138.96,133
2974626,AF2974626,AF,351,1,1850.10,1,1,2,1,112,lost,0,1,1.00,High Risk,1850.10,1850.10,14
3039258,AF3039258,AF,225,2,9007.74,1,2,4,3,124,lost,0,1,1.00,High Risk,18015.48,4503.87,140
3125052,AF3125052,AF,190,3,1429.20,2,3,2,2,232,hibernating,0,1,0.98,High Risk,4287.60,476.40,175
3136482,AF3136482,AF,337,1,1200.36,1,1,2,1,112,lost,0,1,1.00,High Risk,1200.36,1200.36,28
3137244,AF3137244,AF,113,7,7616.10,2,4,4,4,244,at risk,1,0,0.00,,53312.70,1088.01,252
3200394,AF3200394,AF,169,1,285.96,2,1,1,1,211,hibernating,0,0,0.01,Low Risk,285.96,285.96,196
3201528,AF3201528,AF,71,3,10149.24,3,3,4,3,334,need attention,1,0,0.00,,30447.72,3383.08,294
3204012,AF3204012,AF,15,9,12718.68,5,4,4,4,544,champions,1,0,0.00,,114468.12,1413.19,350
3207360,AF3207360,AF,29,11,20451.78,4,4,5,4,445,loyal customers,1,0,0.00,,224969.58,1859.25,336
3301770,AF3301770,AF,15,13,21184.20,5,5,5,5,555,champions,1,0,0.00,,275394.60,1629.55,350
3347148,AF3347148,AF,197,11,9583.38,2,4,4,4,244,at risk,0,1,0.96,High Risk,105417.18,871.22,168
3348570,AF3348570,AF,351,1,589.02,1,1,1,1,111,lost,0,1,1.00,High Risk,589.02,589.02,14
3354876,AF3354876,AF,288,1,1205.22,1,1,2,1,112,lost,0,1,1.00,High Risk,1205.22,1205.22,77
3381534,AF3381534,AF,99,5,6002.94,3,4,3,3,343,need attention,1,0,0.01,Low Risk,30014.70,1200.59,266
3390108,AF3390108,AF,8,20,33803.34,5,5,5,5,555,champions,1,0,0.00,,676066.80,1690.17,357
3390318,AF3390318,AF,1,54,36725.10,5,5,5,5,555,champions,1,0,0.00,,1983155.40,680.09,364
3391998,AF3391998,AF,197,2,1980.48,2,2,2,2,222,hibernating,0,1,1.00,High Risk,3960.96,990.24,168
3404904,AF3404904,AF,232,2,1276.56,1,2,2,2,122,lost,0,1,1.00,High Risk,2553.12,638.28,133
3405498,AF3405498,AF,29,1,368.94,4,1,1,1,411,recent customers,1,0,0.00,,368.94,368.94,336
3405714,AF3405714,AF,246,3,719.34,1,3,1,2,131,lost,0,1,1.00,High Risk,2158.02,239.78,119
3406986,AF3406986,AF,218,1,143.94,2,1,1,1,211,hibernating,0,1,1.00,High Risk,143.94,143.94,147
3407052,AF3407052,AF,204,1,648.48,2,1,1,1,211,hibernating,0,1,1.00,High Risk,648.48,648.48,161
3408666,AF3408666,AF,211,1,204.84,2,1,1,1,211,hibernating,0,1,1.00,High Risk,204.84,204.84,154
3409368,AF3409368,AF,344,1,1203.42,1,1,2,1,112,lost,0,1,1.00,High Risk,1203.42,1203.42,21
3409638,AF3409638,AF,106,8,2636.82,3,4,3,3,343,need attention,1,0,0.00,,21094.56,329.60,259
3409734,AF3409734,AF,106,1,2426.52,3,1,3,2,313,about to sleep,1,0,0.00,,2426.52,2426.52,259
3410424,AF3410424,AF,330,1,618.54,1,1,1,1,111,lost,0,1,1.00,High Risk,618.54,618.54,35
3410736,AF3410736,AF,8,23,32695.38,5,5,5,5,555,champions,1,0,0.00,,751993.74,1421.54,357
3411132,AF3411132,AF,113,1,197.64,2,1,1,1,211,hibernating,1,0,0.01,Low Risk,197.64,197.64,252
3411396,AF3411396,AF,57,7,12882.24,3,4,4,4,344,can't lose,1,0,0.00,,90175.68,1840.32,308
3412464,AF3412464,AF,323,1,1203.42,1,1,2,1,112,lost,0,1,1.00,High Risk,1203.42,1203.42,42
3412740,AF3412740,AF,260,2,2408.46,1,2,2,2,122,lost,0,1,1.00,High Risk,4816.92,1204.23,105
3412866,AF3412866,AF,71,1,1059.60,3,1,2,1,312,other,1,0,0.00,,1059.60,1059.60,294
3423276,AF3423276,AF,316,1,1018.50,1,1,1,1,111,lost,0,1,1.00,High Risk,1018.50,1018.50,49
3464418,AF3464418,AF,71,1,324.24,3,1,1,1,311,other,1,0,0.00,,324.24,324.24,294
3465060,AF3465060,AF,155,9,13073.52,2,4,4,4,244,at risk,0,0,0.00,Low Risk,117661.68,1452.61,210
3479148,AF3479148,AF,218,1,582.60,2,1,1,1,211,hibernating,0,1,1.00,High Risk,582.60,582.60,147
3482490,AF3482490,AF,8,7,5653.38,5,4,3,3,543,potential loyalists,1,0,0.00,,39573.66,807.63,357
3506214,AF3506214,AF,8,1,3660.06,5,1,3,2,513,promising,1,0,0.00,,3660.06,3660.06,357
3526572,AF3526572,AF,36,7,9453.00,4,4,4,4,444,loyal customers,1,0,0.00,,66171.00,1350.43,329
3531708,AF3531708,AF,211,5,3812.94,2,4,3,3,243,at risk,0,1,0.96,High Risk,19064.70,762.59,154
3531714,AF3531714,AF,218,2,1599.78,2,2,2,2,222,hibernating,0,1,0.99,High Risk,3199.56,799.89,147
3533898,AF3533898,AF,64,1,2053.62,3,1,2,1,312,other,1,0,0.00,,2053.62,2053.62,301
3539850,AF3539850,AF,281,3,2484.06,1,3,3,3,133,lost,0,1,1.00,High Risk,7452.18,828.02,84
3542262,AF3542262,AF,99,3,4078.32,3,3,3,3,333,need attention,1,0,0.00,,12234.96,1359.44,266
3549588,AF3549588,AF,253,6,13799.16,1,4,4,4,144,lost,0,1,0.99,High Risk,82794.96,2299.86,112
3554418,AF3554418,AF,309,1,1239.96,1,1,2,1,112,lost,0,1,1.00,High Risk,1239.96,1239.96,56
3555654,AF3555654,AF,120,3,4837.02,2,3,3,3,233,at risk,1,0,0.02,Low Risk,14511.06,1612.34,245
3560508,AF3560508,AF,64,4,1947.84,3,3,2,2,332,about to sleep,1,0,0.00,,7791.36,486.96,301
3569226,AF3569226,AF,288,2,6788.58,1,2,4,3,124,lost,0,1,1.00,High Risk,13577.16,3394.29,77
3578430,AF3578430,AF,190,4,4333.98,2,3,3,3,233,at risk,0,1,0.99,High Risk,17335.92,1083.50,175
3582606,AF3582606,AF,295,1,1213.26,1,1,2,1,112,lost,0,1,1.00,High Risk,1213.26,1213.26,70
3584946,AF3584946,AF,211,2,502.68,2,2,1,1,221,hibernating,0,1,0.99,High Risk,1005.36,251.34,154
3639462,AF3639462,AF,78,2,9560.94,3,2,4,3,324,need attention,1,0,0.00,,19121.88,4780.47,287
3678312,AF3678312,AF,57,1,1213.26,3,1,2,1,312,other,1,0,0.00,,1213.26,1213.26,308
3679626,AF3679626,AF,29,1,593.82,4,1,1,1,411,recent customers,1,0,0.00,,593.82,593.82,336
3692442,AF3692442,AF,309,1,618.54,1,1,1,1,111,lost,0,1,1.00,High Risk,618.54,618.54,56
3692640,AF3692640,AF,106,1,1059.60,3,1,2,1,312,other,1,0,0.00,,1059.60,1059.60,259
3700122,AF3700122,AF,176,3,3656.28,2,3,3,3,233,at risk,0,0,0.03,Low Risk,10968.84,1218.76,189
3702438,AF3702438,AF,57,9,12667.26,3,4,4,4,344,can't lose,1,0,0.00,,114005.34,1407.47,308
3727500,AF3727500,AF,57,4,4108.32,3,3,3,3,333,need attention,1,0,0.00,,16433.28,1027.08,308
3743250,AF3743250,AF,211,1,1059.60,2,1,2,1,212,hibernating,0,1,0.99,High Risk,1059.60,1059.60,154
3746010,AF3746010,AF,351,1,129.18,1,1,1,1,111,lost,0,1,1.00,High Risk,129.18,129.18,14
3752658,AF3752658,AF,267,1,368.94,1,1,1,1,111,lost,0,1,1.00,High Risk,368.94,368.94,98
3756432,AF3756432,AF,8,7,14273.28,5,4,4,4,544,champions,1,0,0.00,,99912.96,2039.04,357
3787950,AF3787950,AF,295,1,619.38,1,1,1,1,111,lost,0,1,1.00,High Risk,619.38,619.38,70
3790218,AF3790218,AF,225,2,13774.80,1,2,4,3,124,lost,0,1,1.00,High Risk,27549.60,6887.40,140
3813900,AF3813900,AF,253,1,1059.60,1,1,2,1,112,lost,0,1,1.00,High Risk,1059.60,1059.60,112
3814434,AF3814434,AF,274,2,3714.24,1,2,3,2,123,lost,0,1,1.00,High Risk,7428.48,1857.12,91
3830808,AF3830808,AF,22,1,208.38,5,1,1,1,511,recent customers,1,0,0.00,,208.38,208.38,343
3839538,AF3839538,AF,232,3,3291.60,1,3,3,3,133,lost,0,1,1.00,High Risk,9874.80,1097.20,133
3862410,AF3862410,AF,260,5,10841.58,1,4,4,4,144,lost,0,1,0.99,High Risk,54207.90,2168.32,105
3862560,AF3862560,AF,36,1,1213.26,4,1,2,1,412,recent customers,1,0,0.00,,1213.26,1213.26,329
3869988,AF3869988,AF,15,3,4922.40,5,3,3,3,533,potential loyalists,1,0,0.00,,14767.20,1640.80,350
3876846,AF3876846,AF,288,1,386.52,1,1,1,1,111,lost,0,1,1.00,High Risk,386.52,386.52,77
3891150,AF3891150,AF,274,1,1205.22,1,1,2,1,112,lost,0,1,1.00,High Risk,1205.22,1205.22,91
3894282,AF3894282,AF,22,1,197.64,5,1,1,1,511,recent customers,1,0,0.00,,197.64,197.64,343
3895428,AF3895428,AF,29,11,12591.18,4,4,4,4,444,loyal customers,1,0,0.00,,138502.98,1144.65,336
3898386,AF3898386,AF,204,1,330.48,2,1,1,1,211,hibernating,0,1,1.00,High Risk,330.48,330.48,161
3908466,AF3908466,AF,43,8,5162.64,4,4,3,3,443,potential loyalists,1,0,0.00,,41301.12,645.33,322
3919632,AF3919632,AF,197,2,2908.74,2,2,3,2,223,hibernating,0,1,1.00,High Risk,5817.48,1454.37,168
3927558,AF3927558,AF,43,1,1026.78,4,1,1,1,411,recent customers,1,0,0.00,,1026.78,1026.78,322
3945510,AF3945510,AF,43,8,13406.10,4,4,4,4,444,loyal customers,1,0,0.00,,107248.80,1675.76,322
3956628,AF3956628,AF,176,1,1202.22,2,1,2,1,212,hibernating,0,0,0.02,Low Risk,1202.22,1202.22,189
3957720,AF3957720,AF,246,6,10818.06,1,4,4,4,144,lost,0,1,0.99,High Risk,64908.36,1803.01,119
3957732,AF3957732,AF,267,1,4708.44,1,1,3,2,113,lost,0,1,1.00,High Risk,4708.44,4708.44,98
3966450,AF3966450,AF,99,1,1251.96,3,1,2,1,312,other,1,0,0.00,,1251.96,1251.96,266
3975804,AF3975804,AF,22,5,6298.14,5,4,4,4,544,champions,1,0,0.00,,31490.70,1259.63,343
3978780,AF3978780,AF,36,3,21848.46,4,3,5,4,435,loyal customers,1,0,0.00,,65545.38,7282.82,329
4014948,AF4014948,AF,29,2,656.10,4,2,1,1,421,recent customers,1,0,0.00,,1312.20,328.05,336
4061172,AF4061172,AF,29,7,7011.78,4,4,4,4,444,loyal customers,1,0,0.00,,49082.46,1001.68,336
4063920,AF4063920,AF,127,1,638.28,2,1,1,1,211,hibernating,1,0,0.01,Low Risk,638.28,638.28,238
4075626,AF4075626,AF,330,1,1026.78,1,1,1,1,111,lost,0,1,1.00,High Risk,1026.78,1026.78,35
4093242,AF4093242,AF,29,5,4533.30,4,4,3,3,443,potential loyalists,1,0,0.00,,22666.50,906.66,336
4098018,AF4098018,AF,267,3,1822.08,1,3,2,2,132,lost,0,1,1.00,High Risk,5466.24,607.36,98
4118754,AF4118754,AF,50,7,12078.12,4,4,4,4,444,loyal customers,1,0,0.00,,84546.84,1725.45,315
4118850,AF4118850,AF,155,1,1018.50,2,1,1,1,211,hibernating,0,0,0.01,Low Risk,1018.50,1018.50,210
4118856,AF4118856,AF,155,2,1225.98,2,2,2,2,222,hibernating,0,0,0.02,Low Risk,2451.96,612.99,210
4124232,AF4124232,AF,218,1,2948.28,2,1,3,2,213,hibernating,0,1,0.99,High Risk,2948.28,2948.28,147
4130100,AF4130100,AF,15,11,19560.06,5,4,5,4,545,champions,1,0,0.00,,215160.66,1778.19,350
4150986,AF4150986,AF,50,19,28200.36,4,5,5,5,455,loyal customers,1,0,0.00,,535806.84,1484.23,315
4155816,AF4155816,AF,232,1,2410.50,1,1,2,1,112,lost,0,1,1.00,High Risk,2410.50,2410.50,133
4164078,AF4164078,AF,92,3,2706.84,3,3,3,3,333,need attention,1,0,0.00,,8120.52,902.28,273
4165854,AF4165854,AF,183,1,1018.50,2,1,1,1,211,hibernating,0,1,1.00,High Risk,1018.50,1018.50,182
4179594,AF4179594,AF,211,3,9285.72,2,3,4,3,234,at risk,0,1,0.99,High Risk,27857.16,3095.24,154
4183590,AF4183590,AF,344,1,1018.50,1,1,1,1,111,lost,0,1,1.00,High Risk,1018.50,1018.50,21
4218030,AF4218030,AF,302,1,2969.52,1,1,3,2,113,lost,0,1,1.00,High Risk,2969.52,2969.52,63
4231650,AF4231650,AF,8,10,11555.22,5,4,4,4,544,champions,1,0,0.00,,115552.20,1155.52,357
4232970,AF4232970,AF,141,2,3665.94,2,2,3,2,223,hibernating,1,0,0.00,,7331.88,1832.97,224
4238484,AF4238484,AF,36,2,3080.34,4,2,3,2,423,promising,1,0,0.00,,6160.68,1540.17,329
4244184,AF4244184,AF,64,8,12483.06,3,4,4,4,344,can't lose,1,0,0.00,,99864.48,1560.38,301
4279704,AF4279704,AF,344,1,333.60,1,1,1,1,111,lost,0,1,1.00,High Risk,333.60,333.60,21
4283280,AF4283280,AF,141,1,130.20,2,1,1,1,211,hibernating,1,0,0.00,,130.20,130.20,224
4288428,AF4288428,AF,1,38,69793.08,5,5,5,5,555,champions,1,0,0.00,,2652137.04,1836.66,364
4290954,AF4290954,AF,8,9,10610.10,5,4,4,4,544,champions,1,0,0.00,,95490.90,1178.90,357
4304040,AF4304040,AF,22,1,618.54,5,1,1,1,511,recent customers,1,0,0.00,,618.54,618.54,343
4312230,AF4312230,AF,204,1,582.60,2,1,1,1,211,hibernating,0,1,1.00,High Risk,582.60,582.60,161
4334628,AF4334628,AF,85,2,3113.16,3,2,3,2,323,about to sleep,1,0,0.00,,6226.32,1556.58,280
4357764,AF4357764,AF,134,4,5342.52,2,3,3,3,233,at risk,1,0,0.01,Low Risk,21370.08,1335.63,231
4360446,AF4360446,AF,344,1,2053.56,1,1,2,1,112,lost,0,1,1.00,High Risk,2053.56,2053.56,21
4381530,AF4381530,AF,78,2,2481.72,3,2,3,2,323,about to sleep,1,0,0.00,,4963.44,1240.86,287
4390314,AF4390314,AF,1,12,2279.52,5,4,2,3,542,potential loyalists,1,0,0.00,,27354.24,189.96,364
4390680,AF4390680,AF,1,51,12784.08,5,5,4,4,554,champions,1,0,0.00,,651988.08,250.67,364
4390686,AF4390686,AF,1,77,18030.30,5,5,4,4,554,champions,1,0,0.00,,1388333.10,234.16,364
4390692,AF4390692,AF,1,117,37665.24,5,5,5,5,555,champions,1,0,0.00,,4406833.08,321.93,364
4390698,AF4390698,AF,1,60,13175.16,5,5,4,4,554,champions,1,0,0.00,,790509.60,219.59,364
4403058,AF4403058,AF,1,45,7982.34,5,5,4,4,554,champions,1,0,0.00,,359205.30,177.39,364
4403064,AF4403064,AF,1,72,13303.80,5,5,4,4,554,champions,1,0,0.00,,957873.60,184.77,364
4403250,AF4403250,AF,1,56,9926.82,5,5,4,4,554,champions,1,0,0.00,,555901.92,177.26,364
4403256,AF4403256,AF,1,74,15282.54,5,5,4,4,554,champions,1,0,0.00,,1130907.96,206.52,364
4403262,AF4403262,AF,1,39,11723.94,5,5,4,4,554,champions,1,0,0.00,,457233.66,300.61,364
